,created_at,user_name,user_screen_name,user_followers_count,user_friends_count,user_location,tweet,tweet_likes,retweet_count
5,2021-12-04 21:53:51,JUSTin 🥱,Sir_Nike,2291,3596,"Dallas, TX",Pressure from Tindall,0,0
16,2021-12-04 21:53:12,Tom_fridafan45,Tom_fridafan45,22,75,"Aberdeen, Scotland","RT @NicoliarSturge1: The SNP HID the fact of the new virus 🦠 YET again another cover up after the Nike virus 🦠 cover up.

Jason letch on BB…",0,120
17,2021-12-04 21:53:08,Chibs 🤠🇫🇷,chibstucoco,60,288,"Charming City , Kattegat",Et Nike ta mère https://t.co/xKwMkPo0Vv,0,0
19,2021-12-04 21:53:07,Mad House Sneakers,TrucinskiThomas,23,23,"Las Vegas, NV","Check out Nike Blazer Low/ Sacai/ Kaws #DM7901 600 Men's Factory Laced Sneakers US Size 11 #Nike https://t.co/YeSQzSTXim via @eBay find this item and more at https://t.co/tS7XUg7aOW and save today. Thanks, Tom. #nike #sneakers #shoes #footwear #menshoes #nikeblazerlow #nikesacai https://t.co/CtFaFJb19P",0,0
20,2021-12-04 21:53:06,𝐀𝐎 JANUAR VOLTΛ,colzonel,1251,1325,"才能のある人, will make you weak
➷｡ just  a touch and a sharp  gaze
it' s 𝗧𝗮𝗲𝗵𝘆𝘂𝗻𝗴  𝗱𝗲  𝗞𝗶𝗺 彼の名前✯
カリスマ的なメンバー  ©BTS ! ⛌ ☬","@vamdpire nike, dior, rolex, chanel.",0,0
21,2021-12-04 21:53:05,Crystal Kreider,Crispens87,281,506,"Ephrata, PA","@mcgoughsucks @Dejan_Kovacevic @DKPghSports @Pirates @cotuck https://t.co/6UQ0uqUGcP  

Did you see this one?",0,0
24,2021-12-04 21:52:59,David Hulata,HulataD,5,21,"Lake Forest, IL",@TheLeoTerrell Start with Nike,0,0
26,2021-12-04 21:52:48,Enfermero Nuclear ☢️,NeneEnfermero,718,1761,"Donde Viven Los Guapos, México",@ivy_cleta @Nike QUE JOYAAAAAAA 👟,0,0
27,2021-12-04 21:52:46,Dazj 💞,Adore_MySarcasm,1973,1497,"Baton Rouge, LA",RT @Junfordd: Being a part of Nike’s #YardRunners Class Of 2021 gives me an overwhelming amount of joy that I was selected to be the advoca…,0,1
30,2021-12-04 21:52:33,𝐀𝐎 JANUAR VOLTΛ,colzonel,1251,1325,"才能のある人, will make you weak
➷｡ just  a touch and a sharp  gaze
it' s 𝗧𝗮𝗲𝗵𝘆𝘂𝗻𝗴  𝗱𝗲  𝗞𝗶𝗺 彼の名前✯
カリスマ的なメンバー  ©BTS ! ⛌ ☬","@dunhnll nike, rolex, cartier, uniqlo.",0,0
34,2021-12-04 21:52:18,Macolin,Nachovillouta12,563,667,"Mendoza, Argentina",RT @Quiroga12_: Boca usó Nike en 2006 e igualmente es parte de las ediciones especiales de Adidas que sacó para los equipos más importantes…,0,454
39,2021-12-04 21:52:05,último romântico.,_ficafrioai_,156,275,"Caxias do Sul, Brasil","simplesmente achei um conjunto da nike por 35 real num brechó,",0,0
44,2021-12-04 21:51:42,Nike Service,NikeService,200096,546,"Beaverton, Oregon","@7r3y That's not what we like to hear! Let's have you meet us in DM with your Nike Member email, also let us know the device and OS you used to download the app. We will look into this. 👍 https://t.co/dsJjx1OYXB",0,0
46,2021-12-04 21:51:28,Ramon Vitor,RamonSportClube,497,824,"João Pessoa, Brasil",@paulomoreria Eu vou tatuar esse galo do lado da minha galinha usando Nike.,0,0
48,2021-12-04 21:51:25,Jota,Jcmello07,488,248,"São João de Meriti, RJ","Trajado de Nike e na régua, graças a Deus 🥰",0,0
53,2021-12-04 21:51:05,NikeNpsup☀️🌻🐰,nike_KTH,472,272,"Bekasi, Jawa Barat",@Maelklee1 masih,0,0
60,2021-12-04 21:50:51,shaberia sony Crowder,scrowder34,116,1398,"Brooklyn, New york","RT @snkr_twitr: Few sizes left: Nike Air Force 1 Premium ‘Halloween’

https://t.co/A7nxGoS9ec

#AD https://t.co/jBEQHc6SvN",0,2
61,2021-12-04 21:50:40,Nike❤️,iiam_nike,312,269,"Ikorudu, Nigeria","RT @BamBabyG: Do you really like me or scope njalam 😒
Am I the love of your life or you're looking for a girl that you want to defile",0,6
63,2021-12-04 21:50:37,Imany,nouuuugat,3569,400,"Toulouse, Midi-Pyrénées","RT @CaminoTV: La Dunk low Goldenrod a restock à  100€ chez Nike 👀

Lien : https://t.co/8y5LzKmfNU https://t.co/uLAvOPT2RU",0,38
65,2021-12-04 21:50:36,Alejandro Carrera,AlexxCarreraa,8,31,"Vigo, España",RT @mierez_julio: q ganas de tener 40 pares de nike y no saber cual ponerme,0,14
67,2021-12-04 21:50:34,Triple P,GHOSTPOPE,46,77,"Virginia, USA","RT @Pickswise: 🎄 25 DAYS OF CHRISTMAS GIVEAWAY 🎄

We're rolling with @laurenjbara's SEC Championship pick. If Alabama covers +6.5, we'll gi…",0,81
68,2021-12-04 21:50:33,Nike❤️,iiam_nike,312,269,"Ikorudu, Nigeria",RT @RoyIsThaTruth: When I Eat That Pussy.. Grab My Face &amp; Hunch It🥺😩🥴,0,24
69,2021-12-04 21:50:32,🤖 Robô do Flamengo ᴼᶜᵗᵃ,OFlamengoFacts,1107,113,"Ninho do Urubu, Rio de Janeiro","Vc sabia? Nike, Itaú, Vivo, Ambev (Guaraná Antarctica), General Motors (Chevrolet), Mastercard, GOL, EF Englistown, Cimed e Ultrafarma são empresas que apoiam as atrocidades que a CBF faz no futebol brasileiro. 
 https://t.co/WkEqZJXUni",0,0
71,2021-12-04 21:50:26,Amandine Thyssen,tahissa1414,24,324,"Aix-en-Provence, France","La cerise sur le gâteau d'une journée idyllique😍😎🔥🙏
#OffWhite #nike #usa #streetwear #usa #nba https://t.co/4WaXOXPdMV",0,0
72,2021-12-04 21:50:25,Nike❤️,iiam_nike,312,269,"Ikorudu, Nigeria",RT @iiam_nike: I want all my lasts to be with you❤️,0,3
73,2021-12-04 21:50:21,SNKRG🅾️D,SNKRGOD1,1741,212,"Los-Angeles, California",RT @nicekicks: A new Air Force 1 Mid joins Nike’s “Athletic Club” collection. 📳 https://t.co/A0EczFPWrB,0,44
76,2021-12-04 21:50:10,SNKRG🅾️D,SNKRGOD1,1741,212,"Los-Angeles, California",RT @kicksonfire: Peep the details on the toebox. Nike SB does it again. Who's coppin? https://t.co/cBvoyE067E,0,30
